Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,39.27,47.0,39.0,45.01,1004,EQ,10.0,100.4,1004.0
2026-08-18,36.6,45.0,36.6,39.45,6656,EQ,106.0,62.79,3915.0
2026-08-19,37.05,42.8,37.05,39.87,4292,EQ,43.0,99.81,2527.0
2026-08-20,39.87,39.87,38.0,38.27,3791,EQ,23.0,164.83,2585.0
2026-08-21,39.0,40.4,37.9,38.04,2176,EQ,23.0,94.61,1530.0
2026-08-24,41.98,41.98,38.9,39.08,1224,EQ,30.0,40.8,855.0
2026-08-25,42.0,42.0,38.56,39.01,4396,EQ,39.0,112.72,3353.0
2026-08-26,42.0,42.0,39.25,39.8,1205,EQ,13.0,92.69,1163.0
2026-08-27,39.8,40.19,39.12,39.27,1710,EQ,15.0,114.0,1690.0
2026-08-28,39.27,40.0,39.27,39.27,145,EQ,7.0,20.71,114.0
2026-08-31,42.0,42.0,39.08,39.5,13789,EQ,19.0,725.74,13789.0
2026-09-01,39.6,39.99,38.94,39.5,133,EQ,20.0,6.65,112.0
2026-09-02,40.49,40.49,39.0,39.07,520,EQ,7.0,74.29,491.0
2026-09-03,39.07,39.07,38.51,38.51,1789,EQ,5.0,357.8,1789.0
2026-09-04,39.4,39.49,38.75,39.01,3377,EQ,15.0,225.13,3262.0
2026-09-07,39.4,39.7,38.0,39.7,1206,EQ,11.0,109.64,910.0
2026-09-08,39.7,40.25,38.6,38.72,230,EQ,19.0,12.11,229.0
2026-09-09,41.48,41.48,38.05,40.01,1112,EQ,21.0,52.95,892.0
2026-09-10,39.0,41.95,39.0,39.0,4591,EQ,126.0,36.44,4045.0
2026-09-11,41.94,43.5,39.56,41.4,5329,EQ,157.0,33.94,507.0
2026-09-15,43.49,45.5,41.55,43.09,12042,EQ,305.0,39.48,10578.0
2026-09-16,43.4,44.9,41.3,43.15,4562,EQ,70,65.17,4562
2026-09-17,47.44,47.44,42.55,44.61,1402,EQ,51,27.49,1325
2026-09-18,44.16,46.39,42.52,44.4,1646,EQ,20,82.3,1591
