Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,71.0,71.0,68.0,68.3,23,EQ,4.0,5.75,14.0
2026-08-18,75.0,75.0,67.5,68.38,366,EQ,12.0,30.5,169.0
2026-08-20,67.5,68.0,67.5,68.0,26,EQ,2.0,13.0,26.0
2026-08-21,68.0,69.0,67.55,69.0,129,EQ,10.0,12.9,128.0
2026-08-24,70.38,72.49,68.0,72.49,50,EQ,4.0,12.5,42.0
2026-08-25,72.49,72.49,70.0,70.0,102,EQ,6.0,17.0,100.0
2026-08-26,70.0,70.0,70.0,70.0,33,EQ,3.0,11.0,33.0
2026-08-28,70.05,77.0,70.05,75.93,1341,EQ,33.0,40.64,1120.0
2026-08-31,80.0,81.0,75.94,80.76,4507,EQ,114.0,39.54,3784.0
2026-09-01,81.0,82.0,77.01,79.74,1398,EQ,42.0,33.29,1106.0
2026-09-02,79.74,79.74,76.62,79.58,565,EQ,24.0,23.54,503.0
2026-09-03,79.58,80.0,79.58,79.99,544,EQ,13.0,41.85,544.0
2026-09-04,79.99,79.99,79.98,79.98,41,EQ,2.0,20.5,41.0
2026-09-07,79.98,79.98,79.98,79.98,8,EQ,3.0,2.67,8.0
2026-09-08,79.98,80.0,76.97,79.72,1618,EQ,16.0,101.12,1555.0
2026-09-09,77.0,80.52,77.0,78.0,189,EQ,13.0,14.54,188.0
2026-09-10,78.78,78.78,75.5,75.5,173,EQ,5.0,34.6,173.0
2026-09-11,75.7,75.7,75.0,75.5,909,EQ,9.0,101.0,909.0
2026-09-15,75.0,77.99,74.74,76.49,506,EQ,10.0,50.6,504.0
2026-09-16,76.49,76.49,73.49,73.49,22,EQ,4,5.5,10
2026-09-17,73.49,73.49,73.49,73.49,20,EQ,1,20.0,20
2026-09-18,73.49,73.49,73.49,73.49,1,EQ,1,1.0,1
