Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,379.0,380.25,370.0,378.4,13923,EQ,113.0,123.21,9751.0
2026-08-18,379.9,380.5,370.05,376.95,6621,EQ,183.0,36.18,4998.0
2026-08-19,382.4,382.4,375.5,377.25,5329,EQ,162.0,32.9,4420.0
2026-08-20,377.0,377.6,371.0,375.4,7222,EQ,245.0,29.48,5525.0
2026-08-21,379.95,379.95,370.0,378.45,13921,EQ,296.0,47.03,11892.0
2026-08-24,375.15,382.0,375.15,380.45,3836,EQ,151.0,25.4,2717.0
2026-08-25,373.1,375.0,371.95,372.85,10427,EQ,134.0,77.81,9159.0
2026-08-26,375.0,378.0,365.0,369.2,11328,EQ,269.0,42.11,8699.0
2026-08-27,374.85,374.95,365.7,371.1,3426,EQ,88.0,38.93,2689.0
2026-08-28,370.0,374.15,368.05,373.0,2388,EQ,73.0,32.71,2016.0
2026-08-31,372.5,374.0,365.0,367.7,5767,EQ,165.0,34.95,4418.0
2026-09-01,363.25,369.0,363.0,365.8,5911,EQ,263.0,22.48,4237.0
2026-09-02,365.8,375.0,363.85,371.55,13513,EQ,240.0,56.3,11396.0
2026-09-03,369.85,378.0,366.0,373.8,7380,EQ,248.0,29.76,5510.0
2026-09-04,370.0,375.0,365.0,369.55,13415,EQ,177.0,75.79,11941.0
2026-09-07,366.05,375.0,366.05,370.15,8109,EQ,250.0,32.44,7111.0
2026-09-08,370.15,375.0,361.05,373.75,10927,EQ,310.0,35.25,8461.0
2026-09-09,370.5,377.5,370.5,372.7,6679,EQ,197.0,33.9,5913.0
2026-09-10,374.0,376.95,373.0,375.55,11408,EQ,198.0,57.62,9005.0
2026-09-11,376.0,378.95,374.95,377.05,14206,EQ,199.0,71.39,12413.0
2026-09-15,375.0,378.9,350.1,362.45,8173,EQ,351.0,23.28,6313.0
2026-09-16,366.05,374.0,359.85,370.55,9439,EQ,290,32.55,6040
2026-09-17,370.0,372.0,360.0,362.1,5639,EQ,327,17.24,3185
2026-09-18,369.65,369.95,363.5,368.5,3601,EQ,206,17.48,2525
