Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-25,395.9,395.9,365.6,369.2,15611716,EQ,187419.0,83.3,5173986.0
2026-08-26,377.65,385.0,363.6,367.2,2882121,EQ,48992.0,58.83,581700.0
2026-08-27,368.0,378.0,366.3,368.1,1816347,EQ,21677.0,83.79,523384.0
2026-08-28,369.4,441.7,369.0,429.75,11491099,EQ,180065.0,63.82,1716548.0
2026-08-31,440.95,467.95,428.8,455.75,7625144,EQ,102696.0,74.25,699446.0
2026-09-01,456.0,463.4,435.4,450.75,3504036,EQ,47440.0,73.86,670089.0
2026-09-02,453.0,473.8,435.6,445.8,2415155,EQ,30572.0,79.0,536191.0
2026-09-03,450.5,457.65,435.0,438.8,1680558,EQ,19016.0,88.38,439357.0
2026-09-04,443.05,476.85,440.0,441.45,2746047,EQ,43350.0,63.35,351972.0
2026-09-07,444.9,492.9,444.9,486.3,3585788,EQ,56343.0,63.64,584055.0
2026-09-08,486.5,495.9,471.5,489.15,2339186,EQ,25635.0,91.25,461016.0
2026-09-09,490.05,498.6,476.35,481.2,850225,EQ,13959.0,60.91,169468.0
2026-09-10,485.0,522.0,483.65,509.7,2019949,EQ,35417.0,57.03,336683.0
2026-09-11,512.4,524.95,407.8,407.8,3900142,EQ,58512.0,66.66,1501148.0
2026-09-15,385.0,394.6,326.25,333.95,7326036,EQ,117545.0,62.33,2476045.0
2026-09-16,350.15,367.3,332.35,363.7,3704081,EQ,51002,72.63,614152
2026-09-17,365.0,400.05,350.0,394.0,2910804,EQ,43825,66.42,799149
2026-09-18,399.0,413.5,390.65,398.3,1408607,EQ,24977,56.4,408647
