Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,6.81,7.08,6.81,6.83,22133,EQ,31.0,713.97,21883.0
2026-08-18,7.2,8.19,7.15,8.19,578158,EQ,1840.0,314.22,280167.0
2026-08-19,8.59,8.59,7.54,7.81,517793,EQ,1712.0,302.45,314760.0
2026-08-20,7.9,7.9,7.17,7.31,97254,EQ,363.0,267.92,77847.0
2026-08-21,7.73,8.77,7.31,8.77,2047504,EQ,3571.0,573.37,719177.0
2026-08-24,9.17,10.52,9.17,10.52,1630102,EQ,3388.0,481.14,694511.0
2026-08-25,10.94,11.57,10.73,11.57,1042614,EQ,1847.0,564.49,580616.0
2026-08-26,12.72,12.72,11.8,12.72,328256,EQ,577.0,568.9,264877.0
2026-08-27,13.35,13.35,13.0,13.35,220259,BE,434.0,507.51,220259.0
2026-08-28,14.01,14.01,13.75,14.01,346689,BE,586.0,591.62,346689.0
2026-08-31,14.71,14.71,14.71,14.71,90405,BE,241.0,375.12,90405.0
2026-09-01,15.44,15.44,15.44,15.44,150260,BE,237.0,634.01,150260.0
2026-09-02,16.21,16.21,14.67,14.67,663473,BE,2211.0,300.08,663473.0
2026-09-03,13.94,13.94,13.94,13.94,57815,BE,493.0,117.27,57815.0
2026-09-04,13.25,13.25,13.25,13.25,40062,BE,304.0,131.78,40062.0
2026-09-07,12.59,12.59,12.59,12.59,37276,BE,285.0,130.79,37276.0
2026-09-08,11.97,11.97,11.97,11.97,13502,BE,201.0,67.17,13502.0
2026-09-09,11.38,11.38,11.38,11.38,12803,BE,168.0,76.21,12803.0
2026-09-10,10.82,10.82,10.82,10.82,25004,BE,180.0,138.91,25004.0
2026-09-11,10.28,10.28,10.28,10.28,14109,BE,179.0,78.82,14109.0
2026-09-15,9.72,9.72,9.72,9.72,24845,BE,239.0,103.95,24845.0
2026-09-16,9.24,9.24,9.24,9.24,48995,BE,189,259.23,48995
2026-09-17,8.78,8.78,8.78,8.78,81522,BE,305,267.29,81522
2026-09-18,8.5,9.21,8.35,9.21,157913,BE,332,475.64,157913
