Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,130.0,144.98,130.0,143.61,181,EQ,4.0,45.25,181.0
2026-08-18,143.5,143.5,115.55,133.0,21,EQ,8.0,2.62,19.0
2026-08-19,118.0,130.0,118.0,130.0,670,EQ,18.0,37.22,629.0
2026-08-20,139.5,143.49,120.93,123.53,363,EQ,15.0,24.2,279.0
2026-08-21,134.99,134.99,123.6,125.26,102,EQ,8.0,12.75,91.0
2026-08-24,125.0,125.0,115.01,118.0,368,EQ,9.0,40.89,285.0
2026-08-25,118.0,120.6,118.0,119.4,360,EQ,8.0,45.0,360.0
2026-08-26,142.64,142.64,114.3,132.79,2772,EQ,41.0,67.61,2015.0
2026-08-27,134.11,144.8,118.21,129.5,1849,EQ,65.0,28.45,1179.0
2026-08-28,129.5,137.0,121.12,129.71,336,EQ,121.0,2.78,272.0
2026-08-31,130.35,138.77,123.3,138.44,172,EQ,19.0,9.05,164.0
2026-09-01,126.0,132.0,124.01,131.29,72,EQ,5.0,14.4,67.0
2026-09-02,127.7,132.54,115.0,120.01,1146,EQ,50.0,22.92,805.0
2026-09-03,130.0,144.01,124.99,144.01,16618,EQ,218.0,76.23,6362.0
2026-09-04,162.0,172.81,157.15,163.62,286302,EQ,4232.0,67.65,61310.0
2026-09-07,160.0,160.0,147.06,151.09,21648,EQ,608.0,35.61,11706.0
2026-09-08,154.0,159.0,140.1,152.87,8612,EQ,362.0,23.79,4646.0
2026-09-09,156.8,156.9,145.35,147.65,1965,EQ,112.0,17.54,1344.0
2026-09-10,150.33,150.35,140.7,140.8,711,EQ,60.0,11.85,582.0
2026-09-11,140.69,140.69,126.55,133.35,1859,EQ,94.0,19.78,919.0
2026-09-15,135.0,143.6,127.2,131.84,2536,EQ,64.0,39.62,1998.0
2026-09-16,130.2,137.0,124.26,134.03,582,EQ,27,21.56,579
2026-09-17,134.0,134.0,127.0,128.26,700,EQ,22,31.82,612
2026-09-18,127.5,153.91,126.4,147.92,6683,EQ,142,47.06,5800
