Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,36.95,38.75,34.0,36.06,13676,EQ,130.0,105.2,10731.0
2026-08-18,33.4,36.85,33.1,33.98,9179,EQ,55.0,166.89,8916.0
2026-08-19,36.5,36.6,33.05,34.25,6075,EQ,92.0,66.03,4151.0
2026-08-20,36.0,36.25,34.5,34.56,3168,EQ,25.0,126.72,2778.0
2026-08-21,32.0,35.0,32.0,34.19,2433,EQ,21.0,115.86,2026.0
2026-08-24,34.19,35.7,33.12,35.2,1535,EQ,38.0,40.39,1392.0
2026-08-25,36.5,36.5,34.0,35.49,1173,EQ,40.0,29.32,1083.0
2026-08-26,34.4,35.0,33.9,34.46,4489,EQ,51.0,88.02,4129.0
2026-08-27,34.8,34.8,34.2,34.57,5171,EQ,41.0,126.12,4362.0
2026-08-28,35.0,35.0,34.0,34.41,530,EQ,9.0,58.89,530.0
2026-08-31,35.95,36.0,33.85,35.35,18810,EQ,37.0,508.38,18119.0
2026-09-01,34.26,35.18,34.26,34.82,3475,EQ,43.0,80.81,3429.0
2026-09-02,34.75,34.76,34.03,34.11,3122,EQ,28.0,111.5,2819.0
2026-09-03,35.75,35.75,34.11,35.48,2449,EQ,26.0,94.19,2439.0
2026-09-04,35.05,35.44,34.17,35.25,6016,EQ,35.0,171.89,5998.0
2026-09-07,36.5,39.25,35.1,37.58,82042,EQ,600.0,136.74,67397.0
2026-09-08,39.2,44.38,38.0,41.62,232263,EQ,2028.0,114.53,126242.0
2026-09-09,43.5,45.7,39.21,40.78,123602,EQ,1640.0,75.37,68194.0
2026-09-10,41.7,44.0,39.0,41.61,75776,EQ,686.0,110.46,52139.0
2026-09-11,40.7,41.4,39.3,39.66,60733,EQ,429.0,141.57,40010.0
2026-09-15,39.05,40.87,38.3,38.74,17383,EQ,214.0,81.23,12687.0
2026-09-16,39.0,39.75,36.1,37.32,11771,EQ,86,136.87,9325
2026-09-17,38.5,39.68,37.5,38.72,5937,EQ,58,102.36,5126
2026-09-18,38.72,38.98,37.66,38.96,862,EQ,14,61.57,853
