Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,14.42,14.42,13.0,13.36,119059,EQ,367.0,324.41,77375.0
2026-08-18,13.7,14.64,13.11,14.01,115984,EQ,494.0,234.79,83623.0
2026-08-19,13.87,15.2,13.87,14.75,278773,EQ,900.0,309.75,171955.0
2026-08-20,15.19,16.8,14.0,16.44,870159,EQ,1741.0,499.8,604157.0
2026-08-21,16.9,17.8,16.1,17.48,809509,EQ,1544.0,524.29,565201.0
2026-08-24,17.8,18.5,17.25,17.49,448090,EQ,1322.0,338.95,309866.0
2026-08-25,17.42,18.3,17.05,17.53,195410,EQ,661.0,295.63,131335.0
2026-08-26,18.23,18.4,17.06,17.74,131142,EQ,344.0,381.23,94942.0
2026-08-27,17.74,18.09,16.8,17.16,147702,EQ,440.0,335.69,90915.0
2026-08-28,17.2,17.75,16.81,16.96,145870,EQ,388.0,375.95,104458.0
2026-08-31,17.1,17.1,16.25,16.28,98302,EQ,379.0,259.37,71237.0
2026-09-01,16.5,17.0,15.41,15.93,106844,EQ,736.0,145.17,69528.0
2026-09-02,15.99,16.36,15.51,15.89,51395,EQ,300.0,171.32,32804.0
2026-09-03,15.8,16.0,15.1,15.4,75051,BE,257.0,292.03,75051.0
2026-09-04,15.7,15.85,14.66,15.59,81525,BE,284.0,287.06,81525.0
2026-09-07,15.46,15.79,15.02,15.18,75964,BE,262.0,289.94,75964.0
2026-09-08,15.48,15.61,15.03,15.26,20807,BE,152.0,136.89,20807.0
2026-09-09,15.59,15.59,15.03,15.13,60883,BE,174.0,349.9,60883.0
2026-09-10,15.53,15.64,14.7,15.18,35590,BE,125.0,284.72,35590.0
2026-09-11,15.0,15.15,14.7,14.91,76776,BE,247.0,310.83,76776.0
2026-09-15,14.99,15.34,14.52,14.73,51438,BE,238.0,216.13,51438.0
2026-09-16,14.65,15.24,14.5,14.66,94978,BE,322,294.96,94978
2026-09-17,14.4,15.0,14.4,14.76,31367,BE,205,153.01,31367
2026-09-18,14.95,15.39,14.51,14.78,58881,BE,268,219.71,58881
