Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-01,988.0,1180.0,934.2,1097.7,30102923,EQ,1057286.0,28.47,9455035.0
2026-09-02,1110.0,1161.0,1085.1,1092.8,7998317,EQ,278336.0,28.74,1150042.0
2026-09-03,1115.05,1126.75,1068.55,1076.85,1921139,EQ,80404.0,23.89,683192.0
2026-09-04,1085.05,1099.7,1056.0,1078.25,1509878,EQ,55703.0,27.11,484935.0
2026-09-07,1068.0,1141.0,1068.0,1098.7,3088018,EQ,125611.0,24.58,913433.0
2026-09-08,1105.0,1108.6,1071.1,1094.1,556915,EQ,30153.0,18.47,155671.0
2026-09-09,1095.0,1161.65,1076.2,1133.7,3521358,EQ,154342.0,22.82,674383.0
2026-09-10,1142.0,1193.7,1115.35,1138.95,2805864,EQ,132502.0,21.18,583626.0
2026-09-11,1128.0,1148.0,1105.0,1133.45,1010520,EQ,44139.0,22.89,249708.0
2026-09-15,1133.5,1174.9,1070.05,1080.1,1313080,EQ,65930.0,19.92,314470.0
2026-09-16,1085.0,1087.9,1021.55,1042.8,766135,EQ,44194,17.34,215433
2026-09-17,1040.0,1057.0,1020.6,1045.6,496349,EQ,29558,16.79,129141
2026-09-18,1050.0,1106.9,1048.0,1095.1,1099366,EQ,59275,18.55,394025
