Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,308.0,322.0,297.0,300.95,8328,EQ,227.0,36.69,6856.0
2026-08-18,308.5,317.0,298.1,313.85,8980,EQ,393.0,22.85,6562.0
2026-08-19,322.0,322.0,306.5,310.2,4802,EQ,331.0,14.51,2908.0
2026-08-20,320.0,320.0,304.9,307.85,6494,EQ,322.0,20.17,4038.0
2026-08-21,315.0,315.0,305.65,306.55,5372,EQ,309.0,17.39,3901.0
2026-08-24,306.55,308.45,298.55,303.9,7558,EQ,456.0,16.57,5187.0
2026-08-25,307.5,307.5,296.0,298.7,7812,EQ,438.0,17.84,5912.0
2026-08-26,295.65,300.0,291.25,298.45,12885,EQ,511.0,25.22,8847.0
2026-08-27,300.0,300.85,291.6,292.7,11677,EQ,521.0,22.41,7742.0
2026-08-28,295.6,299.4,290.0,293.05,8794,EQ,341.0,25.79,5981.0
2026-08-31,293.1,296.8,288.55,289.95,9888,EQ,362.0,27.31,7618.0
2026-09-01,290.0,295.2,288.1,290.55,6628,EQ,285.0,23.26,4213.0
2026-09-02,289.95,290.0,280.5,281.5,8882,EQ,608.0,14.61,6849.0
2026-09-03,297.0,297.0,279.0,282.35,16663,EQ,617.0,27.01,11259.0
2026-09-04,282.35,287.4,280.0,282.15,9298,EQ,441.0,21.08,6194.0
2026-09-07,284.0,285.9,280.0,282.0,7571,EQ,357.0,21.21,5302.0
2026-09-08,284.45,286.4,272.8,276.95,9918,EQ,651.0,15.24,5674.0
2026-09-09,276.0,277.35,270.0,272.75,19162,EQ,1084.0,17.68,11448.0
2026-09-10,277.7,279.0,243.25,251.5,64866,EQ,2179.0,29.77,46919.0
2026-09-11,246.55,269.85,238.0,266.95,50644,EQ,2652.0,19.1,21841.0
2026-09-15,271.0,278.0,263.0,263.6,15969,EQ,1303.0,12.26,9191.0
2026-09-16,263.6,265.7,259.55,263.2,5701,EQ,490,11.63,3285
2026-09-17,263.2,269.95,263.2,266.05,4382,EQ,398,11.01,2960
2026-09-18,266.05,274.0,263.25,266.35,9722,EQ,550,17.68,6632
