Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-25,105.3,105.3,91.2,93.25,422570,EQ,6021.0,70.18,293507.0
2026-02-26,93.1,95.2,90.75,91.7,31519,EQ,2301.0,13.7,5885.0
2026-02-27,91.7,93.75,88.3,89.4,39883,EQ,4386.0,9.09,7961.0
2026-03-02,89.4,89.4,84.0,85.9,28081,EQ,3013.0,9.32,8735.0
2026-03-04,85.1,85.6,76.6,79.15,48134,EQ,948.0,50.77,40022.0
2026-03-05,77.6,90.0,77.6,84.7,22322,EQ,776.0,28.77,13844.0
2026-03-06,84.7,86.4,81.05,81.55,16047,EQ,1751.0,9.16,5121.0
2026-03-09,81.4,81.5,80.0,80.6,2391,EQ,155.0,15.43,1659.0
2026-03-10,81.8,84.1,78.2,79.65,8074,EQ,366.0,22.06,5818.0
2026-03-11,80.25,82.0,80.0,80.25,7000,EQ,320.0,21.88,4959.0
2026-03-12,81.1,84.15,81.0,82.65,7863,EQ,277.0,28.39,3673.0
2026-03-13,81.8,81.8,77.55,79.05,5878,EQ,301.0,19.53,4195.0
2026-03-16,81.2,81.2,73.0,73.55,21048,EQ,783.0,26.88,11647.0
2026-03-17,75.2,76.0,73.4,74.0,8028,EQ,579.0,13.87,4240.0
2026-03-18,74.35,74.9,72.45,73.15,22268,EQ,458.0,48.62,19532.0
2026-03-19,74.4,74.75,70.65,71.2,20622,EQ,488.0,42.26,17884.0
2026-03-20,70.8,74.05,69.0,71.75,12829,EQ,1216.0,10.55,7448.0
2026-03-23,75.4,75.4,62.0,66.2,25113,EQ,1351.0,18.59,20024.0
2026-03-24,69.8,72.0,66.25,70.6,88702,EQ,857.0,103.5,82770.0
2026-03-25,70.8,75.0,70.8,74.4,8145,EQ,473.0,17.22,5527.0
2026-03-27,75.0,75.0,68.4,69.35,95599,EQ,635.0,150.55,88620.0
2026-03-30,73.0,73.0,62.1,65.0,21349,EQ,984.0,21.7,10682.0
2026-04-01,65.2,70.0,65.2,69.25,2247,EQ,212.0,10.6,927.0
2026-04-02,69.0,70.0,67.0,69.6,6098,EQ,456.0,13.37,3576.0
2026-04-06,70.25,72.95,70.25,71.2,5889,EQ,322.0,18.29,3474.0
2026-04-07,75.0,76.4,70.0,70.75,13508,EQ,732.0,18.45,7815.0
2026-04-08,72.9,75.6,72.6,73.45,6660,EQ,399.0,16.69,3642.0
2026-04-09,71.4,75.2,71.0,72.3,9724,EQ,773.0,12.58,3540.0
