Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-14,284.0,334.4,284.0,311.15,28679235,EQ,328551.0,87.29,8100242.0
2026-08-17,310.0,313.95,298.0,299.94,3147658,EQ,40070.0,78.55,926880.0
2026-08-18,296.0,306.9,292.0,304.79,2132502,EQ,27228.0,78.32,473114.0
2026-08-19,305.0,322.99,303.1,314.8,4038608,EQ,47931.0,84.26,884869.0
2026-08-20,317.99,337.0,314.0,330.37,3376892,EQ,42465.0,79.52,783810.0
2026-08-21,339.4,342.0,332.0,332.61,2113148,EQ,21227.0,99.55,712626.0
2026-08-24,336.8,349.6,334.84,341.77,1853211,EQ,24248.0,76.43,572371.0
2026-08-25,343.9,348.06,336.41,341.42,956929,EQ,12328.0,77.62,430059.0
2026-08-26,341.42,349.41,339.7,343.69,729002,EQ,8444.0,86.33,316443.0
2026-08-27,346.5,373.65,345.42,358.24,4686252,EQ,70663.0,66.32,520230.0
2026-08-28,360.95,382.96,360.14,373.83,2097019,EQ,33968.0,61.74,345147.0
2026-08-31,375.68,377.8,361.45,369.12,972438,EQ,18181.0,53.49,346687.0
2026-09-01,371.5,379.8,364.0,374.2,670595,EQ,11025.0,60.82,222738.0
2026-09-02,371.95,381.0,368.35,376.1,1206752,EQ,19526.0,61.8,317951.0
2026-09-03,382.5,383.85,368.35,373.2,1013523,EQ,15086.0,67.18,255137.0
2026-09-04,372.0,373.65,363.1,366.1,476411,EQ,9749.0,48.87,193759.0
2026-09-07,365.0,397.4,363.1,388.95,2343237,EQ,35880.0,65.31,692652.0
2026-09-08,393.25,406.95,389.1,403.85,1678026,EQ,30265.0,55.44,469392.0
2026-09-09,405.9,416.5,401.0,409.0,1401837,EQ,20474.0,68.47,398867.0
2026-09-10,410.0,453.0,410.0,439.4,4534860,EQ,80325.0,56.46,721700.0
2026-09-11,459.15,459.8,425.5,442.3,2759682,EQ,42207.0,65.38,670003.0
2026-09-15,440.25,446.05,414.9,424.35,1500330,EQ,33686.0,44.54,629732.0
2026-09-16,429.0,443.9,422.15,439.4,1424369,EQ,28529,49.93,341071
2026-09-17,433.7,450.0,430.85,439.15,1068609,EQ,22699,47.08,267872
2026-09-18,441.05,459.2,436.0,440.8,859607,EQ,13289,64.69,379349
