Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-28,634.0,634.85,551.15,586.65,51084119,EQ,821540.0,62.18,12854846.0
2026-08-31,579.0,585.0,557.1,563.6,8261866,EQ,166328.0,49.67,1749478.0
2026-09-01,560.2,574.8,534.7,539.05,8343086,EQ,145995.0,57.15,1483749.0
2026-09-02,536.0,589.0,535.05,566.3,15878807,EQ,228251.0,69.57,1538836.0
2026-09-03,577.5,584.95,556.05,568.55,5154377,EQ,74533.0,69.16,701467.0
2026-09-04,570.8,573.75,547.55,554.8,2650794,EQ,42688.0,62.1,700606.0
2026-09-07,559.0,559.0,540.0,546.2,1663376,EQ,30655.0,54.26,461200.0
2026-09-08,546.0,573.75,537.35,571.35,4308131,EQ,77219.0,55.79,863727.0
2026-09-09,574.7,609.8,572.0,588.65,7543324,EQ,123864.0,60.9,1404957.0
2026-09-10,600.0,602.4,575.8,581.3,2165254,EQ,38391.0,56.4,510862.0
2026-09-11,578.9,594.15,561.2,584.8,2352665,EQ,45067.0,52.2,570848.0
2026-09-15,589.0,592.0,517.25,523.65,2634136,EQ,59437.0,44.32,922358.0
2026-09-16,530.0,546.0,521.1,540.55,2755719,EQ,54955,50.15,456967
2026-09-17,514.9,562.3,505.05,541.55,4389873,EQ,93566,46.92,686280
2026-09-18,542.8,552.4,524.5,531.6,1265503,EQ,30384,41.65,331794
