Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,137.5,137.5,124.6,124.6,2,EQ,2.0,1.0,2.0
2026-08-18,124.0,124.0,124.0,124.0,7,EQ,4.0,1.75,7.0
2026-08-21,124.0,132.6,124.0,128.35,222,EQ,6.0,37.0,221.0
2026-08-24,128.3,128.3,128.3,128.3,2,EQ,2.0,1.0,2.0
2026-08-25,106.35,128.0,106.35,123.28,708,EQ,24.0,29.5,477.0
2026-08-27,125.9,125.9,125.9,125.9,1,EQ,1.0,1.0,1.0
2026-08-28,113.95,124.8,113.5,115.0,77,EQ,14.0,5.5,45.0
2026-08-31,103.0,129.0,103.0,121.6,276,EQ,16.0,17.25,150.0
2026-09-01,121.6,138.55,121.6,129.48,1366,EQ,49.0,27.88,753.0
2026-09-02,134.6,134.6,123.0,133.98,367,EQ,21.0,17.48,346.0
2026-09-03,130.3,133.0,124.0,124.3,155,EQ,11.0,14.09,131.0
2026-09-04,121.1,132.95,121.1,121.43,1068,EQ,32.0,33.38,1005.0
2026-09-07,121.43,140.0,121.43,130.7,1019,EQ,53.0,19.23,647.0
2026-09-08,130.0,130.0,130.0,130.0,1,EQ,1.0,1.0,1.0
2026-09-09,131.3,131.3,115.0,123.31,1258,EQ,51.0,24.67,838.0
2026-09-10,129.99,129.99,124.0,125.85,546,EQ,14.0,39.0,416.0
2026-09-11,127.11,127.11,126.9,126.9,180,EQ,4.0,45.0,180.0
2026-09-15,125.63,125.63,120.69,125.63,57,EQ,10.0,5.7,57.0
2026-09-16,115.95,139.0,104.15,127.16,463,EQ,20,23.15,352
2026-09-17,126.5,126.53,120.0,120.0,1285,EQ,16,80.31,1132
