Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,0.65,0.68,0.65,0.67,129241,EQ,143.0,903.78,123225.0
2026-08-18,0.69,0.69,0.66,0.67,417557,EQ,145.0,2879.7,385043.0
2026-08-19,0.69,0.69,0.65,0.66,285141,EQ,132.0,2160.16,184898.0
2026-08-20,0.68,0.68,0.65,0.66,381834,EQ,201.0,1899.67,239211.0
2026-08-21,0.67,0.67,0.65,0.65,344388,EQ,164.0,2099.93,270583.0
2026-08-24,0.66,0.66,0.63,0.64,523847,EQ,249.0,2103.8,354539.0
2026-08-25,0.64,0.66,0.61,0.64,525859,EQ,180.0,2921.44,372517.0
2026-08-26,0.65,0.65,0.62,0.64,336183,EQ,163.0,2062.47,225455.0
2026-08-27,0.65,0.65,0.62,0.62,322140,EQ,183.0,1760.33,258986.0
2026-08-28,0.63,0.64,0.61,0.63,621993,EQ,183.0,3398.87,412430.0
2026-08-31,0.64,0.64,0.62,0.63,176790,EQ,163.0,1084.6,146674.0
2026-09-01,0.64,0.64,0.62,0.62,238440,EQ,158.0,1509.11,196558.0
2026-09-02,0.64,0.64,0.62,0.63,284250,EQ,123.0,2310.98,209593.0
2026-09-03,0.64,0.64,0.61,0.61,278952,EQ,165.0,1690.62,236815.0
2026-09-04,0.62,0.62,0.6,0.61,129950,EQ,151.0,860.6,109248.0
2026-09-07,0.62,0.62,0.61,0.61,251250,EQ,193.0,1301.81,196424.0
2026-09-08,0.62,0.64,0.61,0.62,594749,EQ,178.0,3341.29,480698.0
2026-09-09,0.64,0.65,0.63,0.65,326303,EQ,113.0,2887.64,267121.0
2026-09-10,0.67,0.68,0.63,0.63,2174611,EQ,439.0,4953.56,771671.0
2026-09-11,0.64,0.66,0.63,0.66,1597779,EQ,207.0,7718.74,602836.0
2026-09-15,0.69,0.69,0.68,0.68,667929,EQ,206.0,3242.37,597888.0
2026-09-16,0.7,0.71,0.68,0.71,3386208,EQ,415,8159.54,346544
2026-09-17,0.74,0.74,0.72,0.74,2893693,EQ,308,9395.11,892509
2026-09-18,0.77,0.77,0.77,0.77,458115,EQ,128,3579.02,385973
