Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,24.51,24.51,23.57,24.26,2702,EQ,30.0,90.07,2527.0
2026-08-18,23.66,24.73,23.65,24.61,357,EQ,36.0,9.92,312.0
2026-08-19,24.61,24.98,23.25,24.64,752,EQ,34.0,22.12,642.0
2026-08-20,25.25,25.25,23.6,24.75,1549,EQ,38.0,40.76,983.0
2026-08-21,23.2,24.75,23.2,24.5,655,EQ,20.0,32.75,642.0
2026-08-24,24.49,24.99,21.0,23.4,4947,EQ,75.0,65.96,3841.0
2026-08-25,23.99,24.47,23.7,23.74,622,EQ,38.0,16.37,612.0
2026-08-26,24.5,26.48,24.0,24.58,7044,EQ,100.0,70.44,5724.0
2026-08-27,25.49,26.25,24.1,25.95,10945,EQ,91.0,120.27,10909.0
2026-08-28,25.5,25.8,24.0,24.7,4184,EQ,59.0,70.92,3708.0
2026-08-31,25.3,26.25,24.0,26.14,3997,EQ,28.0,142.75,2916.0
2026-09-01,26.0,26.14,24.51,25.49,2957,EQ,31.0,95.39,2642.0
2026-09-02,25.49,25.49,23.0,24.92,5464,EQ,94.0,58.13,4505.0
2026-09-03,24.92,25.7,24.92,24.97,2972,EQ,68.0,43.71,2966.0
2026-09-04,24.9,25.6,24.47,25.49,2509,EQ,28.0,89.61,2508.0
2026-09-07,25.61,25.61,24.48,25.14,2423,EQ,65.0,37.28,1930.0
2026-09-08,26.0,26.0,24.35,24.99,1072,EQ,86.0,12.47,963.0
2026-09-09,24.99,25.97,24.99,25.95,2330,EQ,12.0,194.17,2328.0
2026-09-10,25.86,27.0,25.05,25.05,6327,EQ,57.0,111.0,4144.0
2026-09-11,25.05,25.48,24.0,25.39,5538,EQ,59.0,93.86,3620.0
2026-09-15,26.25,26.25,24.5,25.75,1157,EQ,13.0,89.0,1049.0
2026-09-16,25.0,25.7,24.0,25.1,2364,EQ,38,62.21,1219
2026-09-17,25.1,25.1,24.0,25.04,2691,EQ,60,44.85,2671
2026-09-18,25.04,25.49,23.0,23.79,3513,EQ,63,55.76,3207
