Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,1150.0,1170.0,1108.0,1148.6,1553,EQ,111.0,13.99,1361.0
2026-08-18,1174.9,1190.0,1120.1,1146.1,3434,EQ,342.0,10.04,1725.0
2026-08-19,1219.3,1219.3,1147.0,1179.7,6965,EQ,837.0,8.32,4618.0
2026-08-20,1199.8,1199.8,1151.2,1173.5,4875,EQ,686.0,7.11,3062.0
2026-08-21,1175.4,1192.7,1133.0,1153.7,3814,EQ,448.0,8.51,2659.0
2026-08-24,1162.5,1212.0,1145.0,1147.1,9945,EQ,577.0,17.24,8040.0
2026-08-25,1153.8,1166.5,1122.5,1138.9,1819,EQ,401.0,4.54,1134.0
2026-08-26,1178.9,1178.9,1115.7,1123.7,1918,EQ,215.0,8.92,1676.0
2026-08-27,1139.3,1175.0,1121.0,1144.9,4057,EQ,566.0,7.17,2896.0
2026-08-28,1140.2,1160.1,1126.2,1148.5,1875,EQ,276.0,6.79,1547.0
2026-08-31,1177.9,1177.9,1120.0,1139.9,3097,EQ,307.0,10.09,2203.0
2026-09-01,1149.6,1150.0,1125.1,1138.9,1127,EQ,163.0,6.91,738.0
2026-09-02,1139.3,1143.6,1120.1,1124.4,900,EQ,215.0,4.19,541.0
2026-09-03,1140.0,1148.8,1101.1,1115.5,2475,EQ,250.0,9.9,1701.0
2026-09-04,1100.0,1150.0,1100.0,1136.1,2321,EQ,280.0,8.29,1524.0
2026-09-07,1138.1,1152.6,1129.6,1140.5,1897,EQ,296.0,6.41,1414.0
2026-09-08,1159.0,1159.0,1113.7,1124.6,2113,EQ,286.0,7.39,1689.0
2026-09-09,1135.8,1146.0,1111.0,1140.6,2202,EQ,418.0,5.27,1536.0
2026-09-10,1140.6,1155.0,1121.6,1133.3,3031,EQ,452.0,6.71,2205.0
2026-09-11,1133.4,1144.6,1059.3,1092.1,4924,EQ,607.0,8.11,2024.0
2026-09-15,1092.1,1092.1,1040.0,1051.5,5609,EQ,725.0,7.74,3541.0
2026-09-16,1077.0,1077.0,1020.0,1061.6,2116,EQ,254,8.33,1460
2026-09-17,1061.2,1091.8,1061.2,1076.0,2078,EQ,380,5.47,1166
2026-09-18,1076.0,1114.9,1070.0,1084.3,1647,EQ,278,5.92,1081
