Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,56.86,56.86,56.0,56.71,3679,EQ,39.0,94.33,3650.0
2026-08-18,59.79,59.79,56.17,56.33,2905,EQ,84.0,34.58,2738.0
2026-08-19,56.8,56.8,52.0,55.62,7079,EQ,150.0,47.19,5348.0
2026-08-20,54.5,55.99,53.0,53.33,13799,EQ,165.0,83.63,11683.0
2026-08-21,53.59,55.7,53.04,55.09,5900,EQ,79.0,74.68,5052.0
2026-08-24,55.09,55.09,52.85,53.02,20625,EQ,185.0,111.49,18447.0
2026-08-25,53.01,54.99,52.99,54.58,12345,EQ,159.0,77.64,8944.0
2026-08-26,56.79,60.89,55.79,58.88,37186,EQ,526.0,70.7,27517.0
2026-08-27,58.89,62.7,56.9,59.04,31516,EQ,396.0,79.59,20947.0
2026-08-28,60.0,61.73,59.06,59.47,12125,EQ,173.0,70.09,9073.0
2026-08-31,61.96,61.96,58.0,58.68,7747,EQ,96.0,80.7,6860.0
2026-09-01,58.56,61.49,58.49,59.2,16522,EQ,187.0,88.35,12531.0
2026-09-02,60.38,61.6,55.0,61.55,27698,EQ,224.0,123.65,23323.0
2026-09-03,60.32,61.8,59.9,61.0,2495,EQ,62.0,40.24,1733.0
2026-09-04,62.35,62.9,59.05,60.36,28654,EQ,203.0,141.15,25329.0
2026-09-07,61.84,61.9,58.61,59.74,9023,EQ,270.0,33.42,6934.0
2026-09-08,61.0,61.0,59.01,59.91,11623,EQ,76.0,152.93,6683.0
2026-09-09,59.8,61.0,58.05,58.38,14318,EQ,170.0,84.22,11538.0
2026-09-10,57.15,59.45,56.25,58.48,22118,EQ,127.0,174.16,15412.0
2026-09-11,58.45,59.89,57.79,59.19,4605,EQ,102.0,45.15,2715.0
2026-09-15,60.79,60.79,58.85,59.78,6626,EQ,84.0,78.88,4759.0
2026-09-16,58.51,59.28,55.31,57.19,9553,EQ,184,51.92,7630
2026-09-17,57.93,58.5,56.28,56.57,3789,EQ,101,37.51,2853
2026-09-18,55.68,57.0,55.67,56.56,3984,EQ,56,71.14,3733
