Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,140.3,151.0,140.3,145.36,33315,EQ,135.0,246.78,20497.0
2026-08-18,145.65,149.0,144.8,144.97,11329,EQ,221.0,51.26,9079.0
2026-08-19,144.5,147.0,140.5,143.8,40375,EQ,311.0,129.82,17162.0
2026-08-20,144.22,149.5,115.04,138.9,5762,EQ,232.0,24.84,2948.0
2026-08-21,140.36,144.98,138.5,141.4,4266,EQ,156.0,27.35,3896.0
2026-08-24,142.98,143.0,138.6,140.81,2962,EQ,48.0,61.71,2868.0
2026-08-25,142.0,142.0,135.8,139.43,487,EQ,46.0,10.59,438.0
2026-08-26,139.43,142.5,135.98,141.8,2715,EQ,61.0,44.51,2435.0
2026-08-27,130.0,147.2,129.1,143.28,705,EQ,23.0,30.65,671.0
2026-08-28,142.85,144.75,130.2,137.96,1601,EQ,32.0,50.03,1575.0
2026-08-31,148.0,148.0,137.1,137.2,1149,EQ,31.0,37.06,970.0
2026-09-01,144.8,144.8,137.2,137.78,1859,EQ,64.0,29.05,1635.0
2026-09-02,135.4,138.9,132.1,133.31,7761,EQ,140.0,55.44,6858.0
2026-09-03,138.0,145.0,135.6,138.14,1667,EQ,55.0,30.31,1378.0
2026-09-04,143.0,143.2,136.7,143.0,3159,EQ,110.0,28.72,2507.0
2026-09-07,168.4,171.6,148.0,167.58,638490,EQ,4553.0,140.24,155441.0
2026-09-08,169.8,175.8,155.0,167.17,314708,EQ,3208.0,98.1,74857.0
2026-09-09,167.25,176.75,167.25,174.55,366777,EQ,2812.0,130.43,60202.0
2026-09-10,176.0,180.89,175.0,175.12,90402,EQ,1259.0,71.8,31281.0
2026-09-11,178.0,178.0,169.9,172.04,19771,EQ,560.0,35.31,8347.0
2026-09-15,172.31,175.99,159.3,161.6,66824,EQ,1259.0,53.08,30481.0
2026-09-16,162.35,165.5,157.4,158.53,12332,EQ,472,26.13,7375
2026-09-17,158.52,164.88,156.4,158.62,46210,EQ,554,83.41,30191
2026-09-18,158.7,161.95,151.99,152.2,58089,EQ,714,81.36,36359
