Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,1448.0,1448.0,1448.0,1448.0,2,EQ,2.0,1.0,2.0
2026-08-20,1445.0,1448.0,1445.0,1448.0,12,EQ,3.0,4.0,12.0
2026-08-21,1395.0,1396.0,1395.0,1396.0,3,EQ,2.0,1.5,3.0
2026-08-25,1331.0,1331.0,1331.0,1331.0,5,EQ,1.0,5.0,5.0
2026-08-27,1350.0,1397.0,1350.0,1397.0,37,EQ,9.0,4.11,37.0
2026-08-28,1397.0,1464.9,1397.0,1464.9,16,EQ,4.0,4.0,16.0
2026-08-31,1460.0,1464.0,1460.0,1461.8,18,EQ,2.0,9.0,18.0
2026-09-02,1459.0,1459.0,1459.0,1459.0,2,EQ,2.0,1.0,0.0
2026-09-03,1500.0,1500.0,1386.1,1387.0,393,EQ,22.0,17.86,389.0
2026-09-07,1355.0,1355.0,1320.0,1330.0,613,EQ,40.0,15.32,600.0
2026-09-08,1350.0,1396.5,1350.0,1396.5,173,EQ,14.0,12.36,173.0
2026-09-09,1390.0,1400.0,1390.0,1400.0,420,EQ,18.0,23.33,420.0
2026-09-10,1360.0,1450.0,1360.0,1428.0,259,EQ,21.0,12.33,248.0
2026-09-11,1424.0,1499.4,1424.0,1499.0,64,EQ,15.0,4.27,62.0
2026-09-15,1506.4,1550.0,1506.4,1550.0,8,EQ,3.0,2.67,8.0
2026-09-16,1550.0,1550.0,1475.0,1475.0,28,EQ,8,3.5,28
2026-09-17,1476.0,1480.0,1476.0,1480.0,53,EQ,5,10.6,53
2026-09-18,1478.5,1500.0,1478.5,1500.0,121,EQ,13,9.31,121
