Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,10002.0,10002.0,10002.0,10002.0,11,EQ,1.0,11.0,11.0
2026-08-19,10002.0,10100.0,10002.0,10100.0,2,EQ,2.0,1.0,2.0
2026-08-20,10352.0,10352.0,9401.0,9700.0,8,EQ,8.0,1.0,5.0
2026-08-21,9726.0,9726.0,9603.0,9700.0,10,EQ,9.0,1.11,9.0
2026-08-24,9700.0,9700.0,9700.0,9700.0,3,EQ,2.0,1.5,3.0
2026-08-25,9700.0,9750.0,9700.0,9750.0,2,EQ,2.0,1.0,1.0
2026-08-26,9751.0,9795.0,9751.0,9795.0,7,EQ,2.0,3.5,7.0
2026-08-28,9700.0,11754.0,9700.0,10833.0,298,EQ,43.0,6.93,262.0
2026-08-31,10833.0,10833.0,10264.0,10500.0,62,EQ,29.0,2.14,60.0
2026-09-01,10100.0,12598.0,9999.0,10217.0,118,EQ,50.0,2.36,96.0
2026-09-02,10444.0,10444.0,10000.0,10019.0,27,EQ,20.0,1.35,27.0
2026-09-03,10010.0,10500.0,9801.0,10495.0,139,EQ,22.0,6.32,137.0
2026-09-04,10489.0,10489.0,9600.0,10045.0,35,EQ,32.0,1.09,32.0
2026-09-07,10399.0,10950.0,10399.0,10730.0,22,EQ,22.0,1.0,19.0
2026-09-08,10999.0,10999.0,10225.0,10364.0,36,EQ,18.0,2.0,35.0
2026-09-09,10590.0,10590.0,10400.0,10401.0,51,EQ,27.0,1.89,47.0
2026-09-10,10400.0,10401.0,10400.0,10400.0,105,EQ,12.0,8.75,105.0
2026-09-11,10401.0,10501.0,10400.0,10400.0,31,EQ,9.0,3.44,16.0
2026-09-15,10400.0,10450.0,10400.0,10400.0,11,EQ,5.0,2.2,11.0
2026-09-16,10400.0,10599.0,10390.0,10599.0,10,EQ,5,2.0,10
2026-09-17,10400.0,10585.0,10395.0,10575.0,9,EQ,6,1.5,8
2026-09-18,10400.0,10575.0,10400.0,10540.0,10,EQ,8,1.25,7
