Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,19.44,19.44,18.5,19.15,19062,EQ,95.0,200.65,18939.0
2026-08-18,19.16,19.43,18.5,18.98,23007,EQ,148.0,155.45,15566.0
2026-08-19,18.98,19.8,18.27,18.47,36135,EQ,226.0,159.89,31735.0
2026-08-20,18.41,18.94,18.06,18.47,45864,EQ,108.0,424.67,44607.0
2026-08-21,18.11,18.9,18.11,18.42,27999,EQ,92.0,304.34,27624.0
2026-08-24,18.97,18.97,18.42,18.47,9750,EQ,83.0,117.47,9643.0
2026-08-25,18.5,18.8,18.1,18.25,28224,EQ,170.0,166.02,26466.0
2026-08-26,18.62,18.8,18.26,18.5,20922,EQ,80.0,261.52,19643.0
2026-08-27,18.87,18.9,18.21,18.36,13071,EQ,109.0,119.92,11546.0
2026-08-28,18.9,18.9,18.0,18.33,18350,EQ,119.0,154.2,15619.0
2026-08-31,18.77,19.0,16.98,18.38,32690,EQ,105.0,311.33,30792.0
2026-09-01,18.94,18.94,18.05,18.32,8632,EQ,60.0,143.87,7963.0
2026-09-02,18.5,18.86,18.01,18.28,12389,EQ,70.0,176.99,11915.0
2026-09-03,18.28,18.5,18.0,18.14,10855,EQ,54.0,201.02,10403.0
2026-09-04,18.3,18.44,18.05,18.17,17174,EQ,80.0,214.68,16166.0
2026-09-07,18.3,18.5,17.0,18.15,31991,EQ,199.0,160.76,30316.0
2026-09-08,18.16,19.4,17.25,18.83,59851,EQ,332.0,180.27,49341.0
2026-09-09,18.99,19.08,18.16,18.51,7155,EQ,104.0,68.8,5601.0
2026-09-10,18.7,22.21,18.51,22.21,526243,EQ,822.0,640.2,350059.0
2026-09-11,22.65,25.69,22.51,23.38,930326,EQ,3801.0,244.76,378312.0
2026-09-15,23.43,24.99,20.52,20.98,184975,EQ,987.0,187.41,106279.0
2026-09-16,21.97,22.07,19.6,19.77,62223,EQ,370,168.17,41000
2026-09-17,20.79,21.29,20.45,21.0,138410,EQ,253,547.08,100067
2026-09-18,22.0,23.25,20.35,22.21,105589,EQ,559,188.89,56574
