Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,41.8,43.89,39.71,40.94,83622072,BE,267318.0,312.82,83622072.0
2026-06-16,39.72,42.98,39.0,40.0,118608009,BE,356907.0,332.32,118608009.0
2026-06-17,39.0,42.0,39.0,42.0,66063988,BE,107869.0,612.45,66063988.0
2026-06-18,42.1,43.5,40.25,40.53,117590862,BE,327597.0,358.95,117590862.0
2026-06-19,40.4,42.25,39.2,41.03,38488201,BE,93030.0,413.72,38488201.0
2026-06-22,42.0,43.08,41.55,43.08,30870704,BE,51989.0,593.79,30870704.0
2026-06-23,45.23,45.23,43.5,44.07,46659213,BE,107590.0,433.68,46659213.0
2026-06-24,43.55,44.39,42.32,43.61,32833224,BE,191976.0,171.03,32833224.0
2026-06-25,43.5,43.6,41.5,42.42,19993411,BE,72303.0,276.52,19993411.0
2026-06-29,42.5,42.85,41.0,41.3,25015835,BE,61298.0,408.1,25015835.0
2026-06-30,40.8,42.3,39.41,40.28,47764781,EQ,114957.0,415.5,24787070.0
2026-07-01,40.39,47.24,39.84,44.21,208285426,EQ,349616,595.75,77148126
2026-07-02,44.8,49.49,44.58,48.64,180663243,EQ,378676,477.09,54487380
2026-07-03,49.0,49.88,44.5,45.71,158538274,EQ,364921,434.45,55342482
2026-07-06,45.49,46.31,42.71,43.01,55423682,EQ,139707,396.71,24466907
2026-07-07,43.0,43.2,41.44,41.82,34850256,EQ,85653,406.88,16254332
2026-07-08,41.36,43.2,40.52,40.74,67057540,EQ,158395,423.36,23372490
2026-07-09,41.7,42.03,40.32,41.18,36325807,EQ,91129,398.62,10964706
2026-07-10,41.5,42.76,41.11,41.83,44361003,EQ,110533,401.34,14284276
