Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,61.5,61.5,56.98,60.5,2075,EQ,20.0,103.75,1799.0
2026-08-18,57.48,61.5,57.48,58.21,726,EQ,25.0,29.04,620.0
2026-08-19,56.8,57.92,56.0,57.92,354,EQ,26.0,13.62,354.0
2026-08-20,60.7,60.7,58.95,59.85,1700,EQ,19.0,89.47,1700.0
2026-08-21,58.35,60.6,56.9,59.96,8270,EQ,49.0,168.78,7384.0
2026-08-24,59.96,62.95,56.97,56.97,21926,EQ,129.0,169.97,20417.0
2026-08-25,58.9,58.9,54.13,54.36,19780,EQ,113.0,175.04,16005.0
2026-08-26,57.07,57.07,52.01,57.05,2738,EQ,57.0,48.04,2687.0
2026-08-27,56.85,59.9,55.09,59.38,10993,EQ,99.0,111.04,8438.0
2026-08-28,61.0,62.01,56.57,57.75,27178,EQ,123.0,220.96,21743.0
2026-08-31,57.75,60.62,55.86,57.87,22867,EQ,132.0,173.23,16164.0
2026-09-01,57.07,60.7,54.98,54.99,993,EQ,19.0,52.26,694.0
2026-09-02,54.98,57.71,52.27,53.59,9221,EQ,51.0,180.8,8231.0
2026-09-03,55.0,55.0,52.0,52.36,904,EQ,34.0,26.59,770.0
2026-09-04,54.59,54.84,51.07,52.62,7319,EQ,149.0,49.12,4370.0
2026-09-07,52.62,53.37,50.15,50.98,5319,EQ,82.0,64.87,3696.0
2026-09-08,51.0,52.99,49.25,50.66,3078,EQ,75.0,41.04,2369.0
2026-09-09,52.0,52.0,48.15,48.27,8103,EQ,98.0,82.68,7662.0
2026-09-10,50.31,50.5,48.27,49.42,4211,EQ,76.0,55.41,3474.0
2026-09-11,51.77,51.77,49.0,50.0,548,EQ,15.0,36.53,535.0
2026-09-15,50.0,52.0,49.9,51.5,3504,EQ,23.0,152.35,3501.0
2026-09-16,51.5,51.5,48.93,48.93,1558,EQ,48,32.46,1469
2026-09-17,48.0,50.79,48.0,48.01,3676,EQ,31,118.58,2294
2026-09-18,48.01,50.39,48.0,48.42,2553,EQ,68,37.54,2511
