Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,350.0,350.0,330.0,335.0,1109,EQ,10.0,110.9,1108.0
2026-08-18,350.4,350.4,268.05,343.0,330,EQ,14.0,23.57,326.0
2026-08-19,330.0,338.0,320.0,333.95,1066,EQ,18.0,59.22,1040.0
2026-08-20,333.95,342.5,321.2,334.75,1032,EQ,25.0,41.28,1000.0
2026-08-21,335.0,401.7,330.0,401.7,51714,EQ,963.0,53.7,33959.0
2026-08-24,465.0,482.0,452.8,482.0,125540,EQ,2990.0,41.99,44695.0
2026-08-25,489.4,494.4,433.8,448.8,44537,EQ,1679.0,26.53,27064.0
2026-08-26,440.0,448.95,428.95,442.0,4729,EQ,143.0,33.07,3737.0
2026-08-27,435.0,445.0,429.95,442.05,10945,EQ,282.0,38.81,7767.0
2026-08-28,440.25,474.7,435.95,466.05,11161,EQ,269.0,41.49,9266.0
2026-08-31,480.0,480.0,444.05,449.9,2877,EQ,111.0,25.92,1766.0
2026-09-01,448.35,451.2,432.1,441.65,3974,EQ,167.0,23.8,2007.0
2026-09-02,460.0,460.0,435.0,437.8,2254,EQ,104.0,21.67,1825.0
2026-09-03,403.0,458.0,403.0,429.5,1819,EQ,88.0,20.67,1655.0
2026-09-04,430.0,436.4,414.3,423.35,5617,EQ,128.0,43.88,4547.0
2026-09-07,429.0,440.95,404.4,433.2,6095,EQ,584.0,10.44,3258.0
2026-09-08,445.0,476.5,420.05,460.35,18049,EQ,667.0,27.06,12351.0
2026-09-09,436.2,469.75,436.2,450.2,6736,EQ,369.0,18.25,5015.0
2026-09-10,432.35,460.35,432.35,450.35,13675,EQ,423.0,32.33,11661.0
2026-09-11,448.7,454.75,448.7,450.05,6401,EQ,191.0,33.51,4669.0
2026-09-15,463.95,463.95,406.35,421.6,7551,EQ,189.0,39.95,6258.0
2026-09-16,440.7,448.2,385.35,399.45,6298,EQ,301,20.92,4556
2026-09-17,386.95,407.0,377.0,382.25,5561,EQ,427,13.02,2875
2026-09-18,394.9,404.8,375.35,390.85,11453,EQ,773,14.82,4163
