Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,0.4,0.42,0.4,0.41,189147,EQ,161.0,1174.83,177738.0
2026-08-18,0.41,0.42,0.4,0.42,197952,EQ,192.0,1031.0,165695.0
2026-08-19,0.43,0.45,0.42,0.43,306406,EQ,188.0,1629.82,280575.0
2026-08-20,0.45,0.51,0.44,0.51,1278374,EQ,382.0,3346.53,1091653.0
2026-08-21,0.59,0.6,0.51,0.55,3327122,EQ,923.0,3604.68,2260437.0
2026-08-24,0.57,0.6,0.55,0.55,1179952,EQ,490.0,2408.07,1020260.0
2026-08-25,0.57,0.57,0.52,0.52,527513,EQ,273.0,1932.28,403251.0
2026-08-26,0.52,0.54,0.49,0.52,375672,EQ,201.0,1869.01,313653.0
2026-08-27,0.53,0.53,0.51,0.51,122565,EQ,181.0,677.15,96023.0
2026-08-28,0.53,0.54,0.51,0.53,558395,EQ,283.0,1973.13,426363.0
2026-08-31,0.54,0.54,0.43,0.49,2251800,EQ,473.0,4760.68,1138392.0
2026-09-01,0.5,0.5,0.46,0.46,662628,EQ,228.0,2906.26,576823.0
2026-09-02,0.48,0.49,0.45,0.46,859494,EQ,228.0,3769.71,532262.0
2026-09-03,0.48,0.48,0.46,0.48,243550,BE,158.0,1541.46,243550.0
2026-09-04,0.49,0.49,0.47,0.47,279547,BE,269.0,1039.21,279547.0
2026-09-07,0.48,0.48,0.45,0.45,348816,BE,313.0,1114.43,348816.0
2026-09-08,0.45,0.46,0.45,0.46,131539,BE,155.0,848.64,131539.0
2026-09-09,0.46,0.46,0.44,0.44,187434,BE,167.0,1122.36,187434.0
2026-09-10,0.43,0.45,0.43,0.43,118138,BE,141.0,837.86,118138.0
2026-09-11,0.45,0.45,0.43,0.45,212463,BE,157.0,1353.27,212463.0
2026-09-15,0.47,0.47,0.46,0.47,246319,BE,175.0,1407.54,246319.0
2026-09-16,0.47,0.49,0.45,0.49,370793,BE,222,1670.24,370793
2026-09-17,0.49,0.49,0.47,0.49,85447,BE,158,540.8,85447
2026-09-18,0.49,0.49,0.47,0.47,200774,BE,151,1329.63,200774
