Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,20.16,20.94,19.15,19.68,10562,EQ,80.0,132.02,8631.0
2026-08-18,19.66,19.94,19.0,19.1,21477,EQ,154.0,139.46,20861.0
2026-08-19,18.56,19.28,18.56,19.05,17072,EQ,376.0,45.4,17016.0
2026-08-20,18.65,20.44,18.65,19.29,36236,EQ,130.0,278.74,29571.0
2026-08-21,19.94,19.94,18.66,18.73,14207,EQ,120.0,118.39,10989.0
2026-08-24,19.06,19.11,18.35,18.87,26198,EQ,139.0,188.47,21853.0
2026-08-25,19.1,19.1,18.25,18.85,16494,EQ,130.0,126.88,15008.0
2026-08-26,19.23,19.23,18.26,18.5,10934,EQ,93.0,117.57,10056.0
2026-08-27,18.5,18.98,17.51,18.8,27829,EQ,110.0,252.99,25088.0
2026-08-28,18.98,18.98,17.65,18.11,13463,EQ,107.0,125.82,12545.0
2026-08-31,18.93,18.94,17.76,18.55,9857,EQ,92.0,107.14,8625.0
2026-09-01,19.0,19.0,17.52,18.3,20797,EQ,140.0,148.55,15385.0
2026-09-02,18.98,18.98,17.76,18.21,4252,EQ,65.0,65.42,3501.0
2026-09-03,18.16,18.79,17.8,18.7,11543,EQ,106.0,108.9,10770.0
2026-09-04,18.79,19.38,18.32,18.8,13081,EQ,116.0,112.77,10963.0
2026-09-07,19.0,19.08,18.42,18.99,39076,EQ,209.0,186.97,37356.0
2026-09-08,19.0,19.98,18.56,19.01,4329,EQ,111.0,39.0,3445.0
2026-09-09,19.01,19.2,18.46,18.64,8752,EQ,93.0,94.11,7109.0
2026-09-10,18.82,18.82,16.75,16.99,112181,EQ,542.0,206.98,92268.0
2026-09-11,17.0,17.37,16.5,17.13,33194,EQ,159.0,208.77,31899.0
2026-09-15,16.79,17.44,16.0,17.19,12191,EQ,162.0,75.25,10540.0
2026-09-16,17.3,17.3,16.01,16.83,7197,EQ,111,64.84,5903
2026-09-17,16.19,17.5,16.19,16.85,26812,EQ,202,132.73,20689
2026-09-18,17.19,17.19,16.11,16.77,7955,EQ,65,122.38,6779
