Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-01,449.9,468.7,429.0,435.4,152904,EQ,6740.0,22.69,93326.0
2026-07-02,444.0,457.8,429.85,438.35,97342,EQ,3469.0,28.06,63365.0
2026-07-03,438.3,495.0,428.65,469.35,207733,EQ,5836.0,35.6,119546.0
2026-07-06,477.95,487.95,453.05,473.2,99989,EQ,6006.0,16.65,47333.0
2026-07-07,475.0,489.0,458.1,465.35,62595,EQ,3202.0,19.55,22544.0
2026-07-08,467.95,468.05,441.15,449.05,46136,EQ,2640.0,17.48,17671.0
2026-07-09,450.7,465.0,434.45,437.5,53712,EQ,2568.0,20.92,27204.0
2026-07-10,449.8,460.2,437.1,446.7,30633,EQ,1528.0,20.05,17383.0
2026-07-13,447.85,448.95,434.35,437.35,39333,EQ,1534.0,25.64,23910.0
2026-07-14,447.0,459.95,435.0,439.1,52739,EQ,2213.0,23.83,27140.0
2026-07-15,442.35,461.4,439.2,456.15,32956,EQ,1344.0,24.52,17757.0
2026-07-16,457.45,487.6,449.0,470.75,106309,EQ,4744.0,22.41,50904.0
2026-07-17,477.0,521.8,462.2,509.1,251372,EQ,4604.0,54.6,117537.0
2026-07-20,518.0,533.9,498.15,511.2,591983,EQ,11544.0,51.28,123290.0
2026-07-21,509.5,528.0,505.0,512.4,231693,EQ,5758.0,40.24,38524.0
2026-07-22,512.4,534.45,493.55,502.1,381710,EQ,6443.0,59.24,76734.0
2026-07-23,502.0,505.15,484.0,498.6,129817,EQ,3057.0,42.47,46519.0
2026-07-24,496.1,512.95,480.65,484.05,136848,EQ,3227.0,42.41,47398.0
2026-07-27,494.8,514.0,486.1,496.6,238675,EQ,4872.0,48.99,48388.0
2026-07-28,501.4,525.0,471.6,479.0,372778,EQ,8602.0,43.34,106058.0
2026-07-29,485.0,503.55,480.95,491.2,90119,EQ,2794.0,32.25,43523.0
2026-07-30,495.8,495.8,463.45,469.15,67689,EQ,2491.0,27.17,34286.0
2026-07-31,477.0,483.7,468.0,478.6,37707,EQ,1307.0,28.85,18329.0
2026-08-03,488.4,505.0,472.05,498.45,90890,EQ,3293.0,27.6,46397.0
2026-08-04,499.0,500.95,478.0,484.15,50374,EQ,2497.0,20.17,26097.0
2026-08-05,493.0,510.0,485.6,498.1,87284,EQ,4023.0,21.7,38411.0
2026-08-06,504.95,514.8,495.15,508.7,65043,EQ,3301.0,19.7,37296.0
2026-08-07,508.95,516.95,504.05,505.95,62820,EQ,1934.0,32.48,37329.0
2026-08-10,511.9,511.9,481.9,494.2,60678,EQ,2566.0,23.65,32182.0
2026-08-11,495.65,508.25,482.8,491.0,68589,EQ,2191.0,31.3,32884.0
2026-08-12,493.0,535.1,492.95,518.65,213883,EQ,7199.0,29.71,100596.0
2026-08-13,547.0,547.0,486.25,499.05,182054,EQ,8154.0,22.33,88954.0
2026-08-14,501.0,511.95,489.5,506.0,116930,EQ,3848.0,30.39,60309.0
2026-08-17,523.0,523.0,489.6,490.4,53014,EQ,2417.0,21.93,27157.0
2026-08-18,495.0,499.5,471.95,477.85,54797,EQ,2043.0,26.82,34264.0
2026-08-19,480.05,504.65,473.0,494.35,99841,EQ,3600.0,27.73,38208.0
2026-08-20,499.0,500.05,478.6,485.55,30463,EQ,1149.0,26.51,16505.0
2026-08-21,488.25,493.0,477.0,488.05,44398,EQ,1758.0,25.25,22078.0
2026-08-24,499.9,507.0,481.05,498.2,60205,EQ,2008.0,29.98,30215.0
2026-08-25,496.95,501.0,492.0,498.75,22135,EQ,898.0,24.65,13743.0
2026-08-26,508.0,593.45,497.4,579.55,2738620,EQ,53581.0,51.11,279883.0
2026-08-27,566.8,578.0,556.0,572.7,291096,EQ,10189.0,28.57,76700.0
2026-08-28,570.0,591.6,556.6,570.65,181264,EQ,6155.0,29.45,66006.0
2026-08-31,589.9,589.95,551.05,556.1,189872,EQ,6031.0,31.48,89432.0
2026-09-01,562.25,568.55,540.0,551.45,70808,EQ,2366.0,29.93,31370.0
2026-09-02,551.45,564.1,537.0,548.55,65132,EQ,2364.0,27.55,31945.0
2026-09-03,556.65,561.1,537.55,545.9,64859,EQ,2440.0,26.58,35065.0
2026-09-04,545.9,558.45,540.05,553.2,95767,EQ,2104.0,45.52,62362.0
2026-09-07,553.2,574.95,538.6,543.15,99932,EQ,4248.0,23.52,43795.0
2026-09-08,543.0,554.75,524.6,549.7,111664,EQ,4958.0,22.52,59067.0
2026-09-09,549.7,558.2,531.7,552.45,107371,EQ,5317.0,20.19,56077.0
2026-09-10,550.0,555.75,528.2,531.85,76519,EQ,3666.0,20.87,44982.0
2026-09-11,531.8,531.8,503.8,515.35,132543,EQ,5435.0,24.39,69645.0
2026-09-15,522.0,522.7,485.55,495.0,79658,EQ,3527.0,22.59,43114.0
2026-09-16,490.6,497.25,471.0,479.6,76478,EQ,5170,14.79,40033
2026-09-17,482.85,500.15,464.05,491.95,57584,EQ,2619,21.99,29822
2026-09-18,499.0,510.15,491.55,506.75,30038,EQ,1504,19.97,17626
