Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,1456.0,1519.0,1414.1,1414.1,145,EQ,6.0,24.17,145.0
2026-08-18,1696.0,1696.0,1460.0,1492.3,372,EQ,39.0,9.54,182.0
2026-08-19,1512.0,1512.0,1475.0,1489.0,406,EQ,16.0,25.38,405.0
2026-08-20,1574.0,1574.0,1478.3,1517.4,335,EQ,29.0,11.55,192.0
2026-08-21,1505.0,1517.4,1469.3,1469.5,124,EQ,21.0,5.9,69.0
2026-08-24,1480.0,1500.0,1480.0,1500.0,52,EQ,11.0,4.73,52.0
2026-08-25,1500.0,1500.0,1450.0,1454.1,507,EQ,43.0,11.79,335.0
2026-08-26,1461.3,1489.9,1454.1,1460.0,100,EQ,16.0,6.25,56.0
2026-08-27,1474.9,1500.0,1450.0,1459.8,849,EQ,64.0,13.27,742.0
2026-08-28,1459.8,1459.8,1450.0,1451.7,150,EQ,10.0,15.0,100.0
2026-08-31,1450.0,1497.9,1415.3,1442.7,1024,EQ,87.0,11.77,901.0
2026-09-01,1442.7,1473.0,1440.0,1452.9,444,EQ,46.0,9.65,413.0
2026-09-02,1421.2,1472.0,1410.0,1466.0,423,EQ,55.0,7.69,380.0
2026-09-03,1459.9,1486.9,1450.0,1480.2,356,EQ,68.0,5.24,289.0
2026-09-04,1490.0,1504.4,1455.1,1458.6,643,EQ,57.0,11.28,546.0
2026-09-07,1487.9,1488.0,1436.0,1475.5,361,EQ,44.0,8.2,256.0
2026-09-08,1480.0,1493.0,1465.0,1490.8,189,EQ,27.0,7.0,184.0
2026-09-09,1492.0,1518.0,1465.0,1488.4,454,EQ,62.0,7.32,382.0
2026-09-10,1499.0,1499.0,1453.0,1484.7,453,EQ,49.0,9.24,387.0
2026-09-11,1440.0,1470.0,1440.0,1459.6,347,EQ,48.0,7.23,256.0
2026-09-15,1459.6,1490.0,1440.0,1465.4,609,EQ,69.0,8.83,533.0
2026-09-16,1488.5,1488.5,1452.0,1452.1,237,EQ,41,5.78,134
2026-09-17,1450.0,1481.5,1445.0,1468.5,134,EQ,21,6.38,107
2026-09-18,1461.2,1475.8,1451.0,1457.5,161,EQ,16,10.06,109
