Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,6.5,6.5,5.25,6.25,204297,EQ,697.0,293.11,172406.0
2026-08-18,6.16,6.8,6.16,6.28,256613,EQ,886.0,289.63,199511.0
2026-08-19,6.32,6.44,6.0,6.32,214500,EQ,645.0,332.56,155436.0
2026-08-20,6.3,6.4,6.11,6.17,235132,EQ,977.0,240.67,185351.0
2026-08-21,6.17,6.3,6.17,6.18,225119,EQ,674.0,334.0,167341.0
2026-08-24,6.21,6.24,5.8,6.12,391537,EQ,983.0,398.31,298869.0
2026-08-25,6.22,6.22,5.8,5.97,373608,EQ,910.0,410.56,309459.0
2026-08-26,5.98,6.09,5.98,6.03,174245,EQ,470.0,370.73,137307.0
2026-08-27,6.08,6.08,5.7,5.89,598577,EQ,1177.0,508.56,453742.0
2026-08-28,5.99,6.99,5.75,5.87,399468,EQ,1045.0,382.27,327997.0
2026-08-31,5.92,5.97,5.76,5.89,271129,EQ,689.0,393.51,206858.0
2026-09-01,6.19,6.19,5.83,5.89,310743,EQ,715.0,434.61,244300.0
2026-09-02,5.94,5.96,5.6,5.74,460492,EQ,1065.0,432.39,338174.0
2026-09-03,5.74,5.91,5.65,5.7,268947,EQ,877.0,306.67,168848.0
2026-09-04,5.85,5.89,5.7,5.86,288674,EQ,684.0,422.04,226660.0
2026-09-07,5.94,5.98,4.69,5.77,385034,EQ,1056.0,364.62,268503.0
2026-09-08,5.89,5.91,5.64,5.77,211281,EQ,727.0,290.62,150186.0
2026-09-09,5.9,5.9,5.68,5.73,217866,EQ,638.0,341.48,166007.0
2026-09-10,5.73,5.93,5.73,5.78,382818,EQ,780.0,490.79,243997.0
2026-09-11,5.84,5.89,5.67,5.72,221210,EQ,695.0,318.29,124282.0
2026-09-15,5.72,5.92,5.6,5.62,258296,EQ,785.0,329.04,203736.0
2026-09-16,5.73,5.77,5.5,5.57,165552,EQ,646,256.27,124937
2026-09-17,5.61,5.75,5.55,5.68,203170,EQ,495,410.44,122519
2026-09-18,5.77,5.79,5.6,5.72,205536,EQ,634,324.19,143955
