Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,46.5,47.9,44.11,47.11,21192,EQ,323.0,65.61,15268.0
2026-08-18,47.9,47.9,45.5,46.32,8458,EQ,129.0,65.57,6883.0
2026-08-19,47.2,51.0,45.6,49.21,54472,EQ,520.0,104.75,41936.0
2026-08-20,49.21,52.0,48.1,50.22,63234,EQ,672.0,94.1,51728.0
2026-08-21,51.95,54.0,50.22,52.39,84636,EQ,661.0,128.04,64888.0
2026-08-24,52.9,54.0,49.01,50.41,43434,EQ,663.0,65.51,26804.0
2026-08-25,50.99,51.8,48.0,49.37,23337,EQ,316.0,73.85,20004.0
2026-08-26,50.0,50.0,48.0,49.31,22967,EQ,259.0,88.68,17073.0
2026-08-27,48.32,49.5,48.01,48.76,27659,EQ,290.0,95.38,20599.0
2026-08-28,48.76,50.99,47.62,49.89,33531,EQ,327.0,102.54,29814.0
2026-08-31,50.87,51.0,48.57,49.03,11823,EQ,214.0,55.25,8595.0
2026-09-01,49.99,49.99,47.65,48.02,9658,EQ,124.0,77.89,6508.0
2026-09-02,48.02,48.96,47.0,47.31,13651,EQ,204.0,66.92,9362.0
2026-09-03,48.29,48.29,46.46,47.36,14599,EQ,237.0,61.6,6532.0
2026-09-04,48.73,48.99,47.11,48.63,22127,EQ,174.0,127.17,12852.0
2026-09-07,49.0,49.84,47.71,48.49,23118,EQ,235.0,98.37,14082.0
2026-09-08,48.05,49.8,47.3,48.03,30587,EQ,349.0,87.64,16450.0
2026-09-09,48.1,48.2,47.0,47.17,12104,EQ,139.0,87.08,9446.0
2026-09-10,47.17,48.05,46.51,46.55,7837,EQ,154.0,50.89,6143.0
2026-09-11,46.53,47.24,45.7,46.54,9577,EQ,153.0,62.59,7688.0
2026-09-15,48.0,48.0,46.0,46.71,10908,EQ,146.0,74.71,7062.0
2026-09-16,45.6,47.75,45.6,47.31,17196,EQ,143,120.25,15496
2026-09-17,47.95,47.95,45.0,45.39,39849,EQ,300,132.83,35205
2026-09-18,45.67,46.9,45.51,45.96,12534,EQ,246,50.95,11682
