Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,505.8,507.0,495.3,507.0,5,EQ,5.0,1.0,4.0
2026-08-20,494.1,589.9,477.0,490.2,409,EQ,67.0,6.1,344.0
2026-08-21,502.0,539.85,502.0,534.5,148,EQ,11.0,13.45,148.0
2026-08-24,486.05,533.6,486.05,533.6,29,EQ,7.0,4.14,19.0
2026-08-25,550.0,550.0,502.0,529.95,115,EQ,13.0,8.85,113.0
2026-08-26,500.0,500.05,497.55,497.8,176,EQ,23.0,7.65,176.0
2026-08-27,499.8,524.9,481.05,492.2,236,EQ,40.0,5.9,134.0
2026-08-31,492.2,492.2,489.75,491.05,29,EQ,9.0,3.22,24.0
2026-09-01,497.0,497.0,497.0,497.0,15,EQ,2.0,7.5,15.0
2026-09-02,497.0,497.0,497.0,497.0,2,EQ,1.0,2.0,2.0
2026-09-03,488.85,497.85,488.85,497.85,31,EQ,10.0,3.1,31.0
2026-09-04,500.3,500.3,480.0,482.2,248,EQ,21.0,11.81,237.0
2026-09-07,493.0,497.0,493.0,495.5,12,EQ,4.0,3.0,12.0
2026-09-08,484.3,493.0,480.0,481.5,96,EQ,23.0,4.17,95.0
2026-09-09,484.2,484.2,484.0,484.0,9,EQ,2.0,4.5,9.0
2026-09-10,484.0,488.0,480.0,480.5,14,EQ,7.0,2.0,10.0
2026-09-15,481.3,481.3,477.0,477.0,19,EQ,7.0,2.71,18.0
2026-09-16,485.0,485.0,485.0,485.0,2,EQ,1,2.0,2
2026-09-17,480.15,487.0,480.15,487.0,11,EQ,2,5.5,11
2026-09-18,489.0,489.0,465.3,476.05,124,EQ,34,3.65,111
