Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-30,136.0,136.9,129.2,129.2,2222115,BE,9988.0,222.48,2222115.0
2026-07-31,124.51,127.7,122.74,126.53,1118504,BE,9215.0,121.38,1118504.0
2026-08-03,125.26,125.89,122.85,124.01,295731,BE,2664.0,111.01,295731.0
2026-08-04,122.5,130.0,122.5,127.94,545948,BE,3461.0,157.74,545948.0
2026-08-05,129.1,130.0,127.0,128.01,260227,BE,2126.0,122.4,260227.0
2026-08-06,128.0,132.89,128.0,129.73,517519,BE,3992.0,129.64,517519.0
2026-08-07,129.5,136.21,129.5,136.21,432146,BE,3711.0,116.45,432146.0
2026-08-10,143.02,143.02,143.02,143.02,182087,BE,1231.0,147.92,182087.0
2026-08-11,150.17,150.17,150.17,150.17,281254,BE,1200.0,234.38,281254.0
2026-08-12,154.0,157.67,142.67,156.18,947162,BE,7734.0,122.47,947162.0
2026-08-13,154.0,157.0,146.15,150.4,752781,EQ,8334.0,90.33,374421.0
2026-08-14,148.5,176.78,148.5,172.5,2182519,EQ,32496.0,67.16,534893.0
2026-08-17,174.8,175.9,155.5,158.7,1049878,EQ,17906.0,58.63,442576.0
2026-08-18,159.95,172.5,155.41,168.97,867676,EQ,13850.0,62.65,283347.0
2026-08-19,173.3,174.3,161.08,169.11,782615,EQ,12973.0,60.33,278275.0
2026-08-20,161.0,166.54,155.61,160.18,961012,EQ,13007.0,73.88,330784.0
2026-08-21,157.1,175.0,157.1,167.03,881187,EQ,12365.0,71.26,291297.0
2026-08-24,169.4,171.64,163.1,167.69,401119,EQ,5782.0,69.37,179510.0
2026-08-25,171.1,171.2,162.43,163.09,385611,EQ,4038.0,95.5,205137.0
2026-08-26,163.09,164.65,158.06,159.83,280887,EQ,3930.0,71.47,135686.0
2026-08-27,162.8,169.89,154.26,164.26,5164628,EQ,34482.0,149.78,2338349.0
2026-08-28,165.0,197.11,163.0,197.11,5428284,EQ,40068.0,135.48,1543646.0
2026-08-31,200.77,206.39,190.07,194.82,3347062,EQ,50671.0,66.05,852733.0
2026-09-01,194.82,198.39,180.0,187.34,924415,EQ,12633.0,73.17,270666.0
2026-09-02,186.3,207.41,184.81,193.68,3941896,EQ,54534.0,72.28,616374.0
2026-09-03,195.55,201.68,193.14,195.2,560265,EQ,8486.0,66.02,186574.0
2026-09-04,197.2,234.24,193.11,234.24,5584599,EQ,39510.0,141.35,979498.0
2026-09-07,242.0,281.08,236.58,279.83,13668382,EQ,149232.0,91.59,1350838.0
2026-09-08,281.0,291.99,260.56,266.7,10431097,EQ,121723.0,85.7,1105865.0
2026-09-09,268.52,293.37,268.52,293.37,5261019,EQ,54988.0,95.68,781919.0
2026-09-10,294.11,304.8,278.3,285.59,4898567,EQ,74053.0,66.15,810014.0
2026-09-11,284.91,288.89,270.0,271.34,1232212,EQ,20384.0,60.45,345404.0
2026-09-15,278.0,292.94,271.0,276.09,2631980,EQ,45991.0,57.23,467216.0
2026-09-16,279.4,288.0,248.49,283.03,2262758,EQ,30138,75.08,572177
2026-09-17,286.0,308.67,278.18,302.42,2378436,EQ,41923,56.73,651762
2026-09-18,305.49,330.0,303.11,312.16,2792260,EQ,52894,52.79,522630
