Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,157.45,174.0,155.0,155.82,1224,EQ,31.0,39.48,1224.0
2026-08-19,169.96,170.0,158.0,164.0,1270,EQ,24.0,52.92,614.0
2026-08-20,164.5,169.9,160.0,160.0,294,EQ,9.0,32.67,292.0
2026-08-21,160.0,180.0,130.01,165.97,2180,EQ,46.0,47.39,1994.0
2026-08-24,165.97,165.97,157.0,160.0,1080,EQ,27.0,40.0,1080.0
2026-08-25,164.9,164.9,156.0,163.9,1055,EQ,27.0,39.07,931.0
2026-08-26,163.09,163.09,163.09,163.09,3,EQ,1.0,3.0,3.0
2026-08-27,163.9,166.0,163.89,165.38,965,EQ,25.0,38.6,965.0
2026-08-28,165.4,165.4,165.4,165.4,513,EQ,6.0,85.5,513.0
2026-08-31,166.22,166.22,154.0,162.95,1984,EQ,43.0,46.14,1181.0
2026-09-01,162.95,162.95,155.01,162.95,819,EQ,20.0,40.95,814.0
2026-09-02,163.9,163.9,155.0,155.05,622,EQ,13.0,47.85,617.0
2026-09-03,162.8,162.8,161.9,161.9,112,EQ,4.0,28.0,112.0
2026-09-04,167.0,167.0,163.45,163.45,90,EQ,5.0,18.0,90.0
2026-09-07,163.4,163.4,155.0,163.25,4221,EQ,64.0,65.95,4188.0
2026-09-08,163.25,163.25,155.0,155.05,376,EQ,11.0,34.18,362.0
2026-09-09,163.0,163.0,152.0,161.94,49,EQ,12.0,4.08,49.0
2026-09-10,169.0,169.0,155.0,155.37,180,EQ,19.0,9.47,120.0
2026-09-11,162.9,169.0,155.0,157.13,3204,EQ,54.0,59.33,1229.0
2026-09-15,157.5,166.95,157.5,158.58,390,EQ,10.0,39.0,350.0
2026-09-16,162.0,162.0,157.0,160.0,1164,EQ,9,129.33,1164
2026-09-17,164.95,164.95,163.0,163.0,7,EQ,3,2.33,7
2026-09-18,163.99,164.0,163.9,163.98,15,EQ,7,2.14,13
